animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,animal-mortality-type,animal-mortality-date,animal-death-comments,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-timestamp,deployment-comments,deployment-end-type,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
ZZO.G,Ara,ZZO.G,u,Larus armenicus,ARMENIAN_GULL,adult,850,,,,harness,,40.512925,45.025987,wing_length: 45.2 | head_length: 122.00 | tarsus_length: 71.90,2024-07-09T06:26:00Z,,,none,,phone network,GPS,1100000488,Interrex,15,1100000488
L935179,Ernjak,,u,Larus armenicus,ARMENIAN_GULL,adult,879,,,,harness,,40.511731,45.03944,,2026-04-17T17:30:00Z,,,none,,phone network,GPS,1100000510,Interrex,15,1100000510
L935172,Marash,,u,Larus armenicus,ARMENIAN_GULL,adult,977,,,,harness,,40.512925,45.025987,,2026-04-17T10:00:00Z,,,none,,phone network,GPS,1100000514,Interrex,15,1100000514
L935173,Talin,,u,Larus armenicus,ARMENIAN_GULL,adult,894,,,,harness,,40.511731,45.03944,,2026-04-17T15:08:00Z,,,none,,phone network,GPS,1100000515,Interrex,15,1100000515
L935184,Armaghan,,u,Larus armenicus,ARMENIAN_GULL,adult,971,,,,harness,,40.511731,45.03944,,2026-04-18T15:10:00Z,,,none,,phone network,GPS,110000051b,Interrex,15,110000051b
L935160,Andok,,u,Larus armenicus,ARMENIAN_GULL,adult,1000,,,,harness,,40.512925,45.025987,wing_length: 45.5 | head_length: 124.6 | tarsus_length: 75.9,2025-05-22T18:06:00Z,,,none,,phone network,GPS,110000051e,Interrex,15,110000051e
L935163,Van,,u,Larus armenicus,ARMENIAN_GULL,adult,852,,,,harness,,40.511731,45.03944,,2026-04-16T12:10:00Z,,,none,,phone network,GPS,110000052d,Interrex,15,110000052d
ZAO.V,,ZAO.V,u,Larus armenicus,ARMENIAN_GULL,juvenile,,predation,2024-09-17T12:00:00Z,Predated by raptor.,harness,2024-09-17T12:00:00Z,40.512925,45.025987,wing_length: 38.7 | head_length: 106.3 | tarsus_length: 62.8,2024-09-15T08:00:00Z,Predated by raptor.,dead,none,,phone network,GPS,1100000532,Interrex,15,1100000532
arm_20240914,Tatev,,u,Larus armenicus,ARMENIAN_GULL,juvenile,897,,,,harness,,40.512925,45.025987,wing_length: 42.4 | head_length: 115.0 | tarsus_length: 68.60,2024-09-14T13:00:00Z,,,none,,phone network,GPS,1100000533,Interrex,15,1100000533
L935175,Lalvar,,u,Larus armenicus,ARMENIAN_GULL,adult,723,,,,harness,,40.511731,45.03944,,2026-04-17T16:30:00Z,,,none,,phone network,GPS,1100000536,Interrex,15,1100000536
L935164,Dvin,,u,Larus armenicus,ARMENIAN_GULL,adult,866,,,,harness,,40.511731,45.03944,,2026-04-16T12:10:00Z,,,none,,phone network,GPS,1100000548,Interrex,15,1100000548
L935154,Artos,,u,Larus armenicus,ARMENIAN_GULL,adult,695,,,,harness,,40.512925,45.025987,wing_length: 42.5 | head_length: 109.9 | tarsus_length: 64.6,2025-05-19T06:10:00Z,,,none,,phone network,GPS,110000054b,Interrex,15,110000054b
Z.AOZ,Geghama,Z.AOZ,u,Larus armenicus,ARMENIAN_GULL,adult,824,,,,harness,,40.512925,45.025987,wing_length: 44.0 | head_length: 119.40 | tarsus_length: 69.60,2024-07-10T06:30:00Z,,,none,,phone network,GPS,1100000551,Interrex,15,1100000551
L935153,Sipan,,u,Larus armenicus,ARMENIAN_GULL,adult,933,,,,harness,,40.512925,45.025987,wing_length: 44.3 | head_length: 120.9 | tarsus_length: 70.8,2025-05-18T20:00:00Z,,,none,,phone network,GPS,1100000552,Interrex,15,1100000552
L935182,Amberd,,u,Larus armenicus,ARMENIAN_GULL,juvenile,736,,,,harness,,40.511731,45.03944,,2026-04-17T18:15:00Z,,,none,,phone network,GPS,1100000554,Interrex,15,1100000554
L935155,Arteni,,u,Larus armenicus,ARMENIAN_GULL,adult,905,,,,harness,,40.512925,45.025987,wing_length: 42.5 | head_length: NA | tarsus_length: 67.7,2025-05-21T15:05:00Z,,,none,,phone network,GPS,1100000559,Interrex,15,1100000559
L935165,Kars,,u,Larus armenicus,ARMENIAN_GULL,adult,853,,,,harness,,40.511731,45.03944,,2026-04-16T12:10:00Z,,,none,,phone network,GPS,110000055b,Interrex,15,110000055b
L935169,Taron,,u,Larus armenicus,ARMENIAN_GULL,adult,922,,,,harness,,40.512925,45.025987,,2026-04-17T08:28:00Z,,,none,,phone network,GPS,1100000565,Interrex,15,1100000565
