animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,animal-mortality-type,animal-mortality-date,animal-death-comments,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-timestamp,deployment-comments,deployment-end-type,manipulation-type,study-site,tag-model,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
R65265,Maas 3,R65265,m,Streptopelia turtur,TURTUR_VLAANDEREN,adult,"152,5",unknown,2026-07-09T10:00:00Z,Dead according to data.,harness,2026-07-09T10:00:00Z,51.053494,5.758783,wing_length: 180,2026-07-03T23:00:00Z,Dead according to data.,dead,none,"Elen, Bichterweerd",,phone network,GPS,073579810,Global Messenger,3.0,073579810
R72377,Itegem vr,R72377,f,Streptopelia turtur,TURTUR_VLAANDEREN,adult,144,,,,harness,,51.105147,4.739767,wing_length: 175,2026-07-03T00:00:00Z,,,none,"Itegem, Grote Nete",,phone network,GPS,073585411,Global Messenger,3.0,073585411
R72376,Braakman m2,R72376,m,Streptopelia turtur,TURTUR_VLAANDEREN,adult,147,,,,harness,,51.271907,3.731886,wing_length: 176,2026-07-02T00:00:00Z,,,none,"Boekhoute, Braakmandijk",,phone network,GPS,073587953,Global Messenger,3.0,073587953
R65259,Maas 1,R65259,m,Streptopelia turtur,TURTUR_VLAANDEREN,adult,"156,6",,,,harness,,51.053494,5.758783,wing_length: 175,2026-07-03T12:00:00Z,,,none,"Elen, Bichterweerd",,phone network,GPS,073588654,Global Messenger,3.0,073588654
R65264,Maas 2,R65264,m,Streptopelia turtur,TURTUR_VLAANDEREN,adult,"163,8",,,,harness,,51.053494,5.758783,wing_length: 181,2026-07-03T12:00:00Z,,,none,"Elen, Bichterweerd",,phone network,GPS,073588977,Global Messenger,3.0,073588977
R70584,Itegem m,R70584,m,Streptopelia turtur,TURTUR_VLAANDEREN,adult,"140,3",,,,harness,,51.105147,4.739767,wing_length: 184,2026-07-08T23:00:00Z,,,none,"Itegem, Grote Nete",,phone network,GPS,073589496,Global Messenger,3.0,073589496
R70580,Breem 2,R70580,m,Streptopelia turtur,TURTUR_VLAANDEREN,adult,"147,1",,,,harness,2025-08-26T14:00:00Z,50.739231,2.792166,wing_length: 180,2025-06-25T00:00:00Z,,,none,"Nieuwkerke, Breemeersen",,phone network,GPS,073591195,Global Messenger,3.0,073591195
R70582,Stuiv vr,R70582,f,Streptopelia turtur,TURTUR_VLAANDEREN,adult,128,natural-death,2025-07-04T00:00:00Z,Dead during egg-laying.,harness,2025-07-04T00:00:00Z,51.0744,2.838698,wing_length: 174,2025-07-03T00:00:00Z,Dead during egg-laying.,dead,none,"Stuivekenskerke, IJzer",,phone network,GPS,073591252,Global Messenger,3.0,073591252
R70583,Stuiv m2,R70583,m,Streptopelia turtur,TURTUR_VLAANDEREN,adult,"140,2",,,,harness,2025-11-14T02:00:00Z,51.0744,2.838698,,2025-08-06T23:00:00Z,,,none,"Stuivekenskerke, IJzer",,phone network,GPS,073591252,Global Messenger,3.0,073591252
R70578,Braakman m,R70578,m,Streptopelia turtur,TURTUR_VLAANDEREN,adult,165,,,,harness,,51.271907,3.731886,wing_length: 183,2025-06-18T23:00:00Z,,,none,"Boekhoute, Braakmandijk",,phone network,GPS,073594546,Global Messenger,3.0,073594546
R70581,Stuiv m,R70581,m,Streptopelia turtur,TURTUR_VLAANDEREN,adult,148,,,,harness,,51.0744,2.838698,wing_length: 178,2025-07-01T00:00:00Z,,,none,"Stuivekenskerke, IJzer",,phone network,GPS,073594660,Global Messenger,3.0,073594660
R70579,Breem 1,R70579,m,Streptopelia turtur,TURTUR_VLAANDEREN,adult,157,predation,2025-08-20T20:00:00Z,Dead according to data. Predated at night?,harness,2025-08-20T20:00:00Z,50.739231,2.792166,wing_length: 182,2025-06-25T00:00:00Z,Dead according to data. Predated at night?,dead,none,"Nieuwkerke, Breemeersen",,phone network,GPS,073598034,Global Messenger,3.0,073598034
R70577,Braakman vr,R70577,f,Streptopelia turtur,TURTUR_VLAANDEREN,adult,145,,,,harness,2025-06-20T08:00:00Z,51.271907,3.731886,wing_length: 173,2025-06-18T23:00:00Z,Transmitter defect.,equipment failure,none,"Boekhoute, Braakmandijk",,phone network,GPS,936095219,Global Messenger,3.0,936095219
